"Step","BALNMP_1e_50r_2cl_FAWE - round_loss","BALNMP_1e_50r_2cl_FAWE - round_loss__MIN","BALNMP_1e_50r_2cl_FAWE - round_loss__MAX"
"4","1170.5989093706012","1170.5989093706012","1170.5989093706012"
"9","941.4048034064472","941.4048034064472","941.4048034064472"
"14","918.2548124417663","918.2548124417663","918.2548124417663"
"19","876.9124159496278","876.9124159496278","876.9124159496278"
"24","843.8229543454945","843.8229543454945","843.8229543454945"
"29","815.8158428808674","815.8158428808674","815.8158428808674"
"34","795.8791806269437","795.8791806269437","795.8791806269437"
"39","778.5577497524209","778.5577497524209","778.5577497524209"
"44","764.29948033439","764.29948033439","764.29948033439"
"49","753.0802998798899","753.0802998798899","753.0802998798899"
"54","744.6415377887897","744.6415377887897","744.6415377887897"
"59","725.045787971234","725.045787971234","725.045787971234"
"64","707.9734776881523","707.9734776881523","707.9734776881523"
"69","699.8797880029306","699.8797880029306","699.8797880029306"
"74","682.7867171992548","682.7867171992548","682.7867171992548"
"79","674.0451682583662","674.0451682583662","674.0451682583662"
"84","666.4651145648677","666.4651145648677","666.4651145648677"
"89","665.827211329015","665.827211329015","665.827211329015"
"94","637.1651053049136","637.1651053049136","637.1651053049136"
"99","632.5768473609351","632.5768473609351","632.5768473609351"
"104","624.4696633035783","624.4696633035783","624.4696633035783"
"109","612.2835720161675","612.2835720161675","612.2835720161675"
"114","606.2396207831334","606.2396207831334","606.2396207831334"
"119","608.5866736382886","608.5866736382886","608.5866736382886"
"124","586.724450802838","586.724450802838","586.724450802838"
"129","581.4074237223249","581.4074237223249","581.4074237223249"
"134","589.895522740786","589.895522740786","589.895522740786"
"139","584.7359143677168","584.7359143677168","584.7359143677168"
"144","567.1962631026981","567.1962631026981","567.1962631026981"
"149","536.6617720618669","536.6617720618669","536.6617720618669"
"154","535.6157805530383","535.6157805530383","535.6157805530383"
"159","519.1607320668118","519.1607320668118","519.1607320668118"
"164","514.2628360834788","514.2628360834788","514.2628360834788"
"169","500.6280559264851","500.6280559264851","500.6280559264851"
"174","492.50201246461074","492.50201246461074","492.50201246461074"
"179","501.22483199353155","501.22483199353155","501.22483199353155"
"184","488.8982896384405","488.8982896384405","488.8982896384405"
"189","470.3316997830334","470.3316997830334","470.3316997830334"
"194","498.96495462073653","498.96495462073653","498.96495462073653"
"199","447.18685861222184","447.18685861222184","447.18685861222184"
"204","451.75888055367614","451.75888055367614","451.75888055367614"
"209","434.1406172874631","434.1406172874631","434.1406172874631"
"214","432.46814228100266","432.46814228100266","432.46814228100266"
"219","394.968511030791","394.968511030791","394.968511030791"
"224","406.67141611640545","406.67141611640545","406.67141611640545"
"229","388.52362199330673","388.52362199330673","388.52362199330673"
"234","391.18938872545914","391.18938872545914","391.18938872545914"
"239","375.2209967239214","375.2209967239214","375.2209967239214"
"244","340.91535381594076","340.91535381594076","340.91535381594076"
"249","336.5362598224456","336.5362598224456","336.5362598224456"
