"Step","CFR_300r_1e_FAWE - local_eval_accuracy","CFR_300r_1e_FAWE - local_eval_accuracy__MIN","CFR_300r_1e_FAWE - local_eval_accuracy__MAX"
"1","0.2468","0.2468","0.2468"
"3","0.196","0.196","0.196"
"6","0.3048","0.3048","0.3048"
"8","0.2536","0.2536","0.2536"
"11","0.3336","0.3336","0.3336"
"13","0.32","0.32","0.32"
"16","0.382","0.382","0.382"
"18","0.3648","0.3648","0.3648"
"21","0.4004","0.4004","0.4004"
"23","0.404","0.404","0.404"
"26","0.4296","0.4296","0.4296"
"28","0.4204","0.4204","0.4204"
"31","0.4268","0.4268","0.4268"
"33","0.4388","0.4388","0.4388"
"36","0.4672","0.4672","0.4672"
"38","0.4448","0.4448","0.4448"
"41","0.4736","0.4736","0.4736"
"43","0.4484","0.4484","0.4484"
"46","0.4892","0.4892","0.4892"
"48","0.4852","0.4852","0.4852"
"51","0.5148","0.5148","0.5148"
"53","0.4936","0.4936","0.4936"
"56","0.522","0.522","0.522"
"58","0.5016","0.5016","0.5016"
"61","0.534","0.534","0.534"
"63","0.5276","0.5276","0.5276"
"66","0.5664","0.5664","0.5664"
"68","0.5352","0.5352","0.5352"
"71","0.5652","0.5652","0.5652"
"73","0.5448","0.5448","0.5448"
"76","0.5848","0.5848","0.5848"
"78","0.5624","0.5624","0.5624"
"81","0.592","0.592","0.592"
"83","0.5704","0.5704","0.5704"
"86","0.6056","0.6056","0.6056"
"88","0.5572","0.5572","0.5572"
"91","0.6216","0.6216","0.6216"
"93","0.6036","0.6036","0.6036"
"96","0.6184","0.6184","0.6184"
"98","0.6132","0.6132","0.6132"
"101","0.6292","0.6292","0.6292"
"103","0.6384","0.6384","0.6384"
"106","0.6472","0.6472","0.6472"
"108","0.6264","0.6264","0.6264"
"111","0.6544","0.6544","0.6544"
"113","0.6436","0.6436","0.6436"
"116","0.6612","0.6612","0.6612"
"118","0.6584","0.6584","0.6584"
"121","0.6588","0.6588","0.6588"
"123","0.666","0.666","0.666"
"126","0.6736","0.6736","0.6736"
"128","0.68","0.68","0.68"
"131","0.6988","0.6988","0.6988"
"133","0.6812","0.6812","0.6812"
"136","0.6984","0.6984","0.6984"
"138","0.6876","0.6876","0.6876"
"141","0.6972","0.6972","0.6972"
"143","0.6768","0.6768","0.6768"
"146","0.708","0.708","0.708"
"148","0.7056","0.7056","0.7056"
"151","0.7184","0.7184","0.7184"
"153","0.71","0.71","0.71"
"156","0.722","0.722","0.722"
"158","0.7096","0.7096","0.7096"
"161","0.7208","0.7208","0.7208"
"163","0.7092","0.7092","0.7092"
"166","0.7192","0.7192","0.7192"
"168","0.7072","0.7072","0.7072"
"171","0.7288","0.7288","0.7288"
"173","0.7192","0.7192","0.7192"
"176","0.7268","0.7268","0.7268"
"178","0.7256","0.7256","0.7256"
"181","0.7276","0.7276","0.7276"
"183","0.7304","0.7304","0.7304"
"186","0.7296","0.7296","0.7296"
"188","0.7284","0.7284","0.7284"
"191","0.748","0.748","0.748"
"193","0.744","0.744","0.744"
"196","0.7532","0.7532","0.7532"
"198","0.7512","0.7512","0.7512"
"201","0.7548","0.7548","0.7548"
"203","0.7456","0.7456","0.7456"
"206","0.7452","0.7452","0.7452"
"208","0.7436","0.7436","0.7436"
"211","0.758","0.758","0.758"
"213","0.75","0.75","0.75"
"216","0.7664","0.7664","0.7664"
"218","0.7596","0.7596","0.7596"
"221","0.7752","0.7752","0.7752"
"223","0.762","0.762","0.762"
"226","0.7832","0.7832","0.7832"
"228","0.756","0.756","0.756"
"231","0.7784","0.7784","0.7784"
"233","0.7652","0.7652","0.7652"
"236","0.7832","0.7832","0.7832"
"238","0.764","0.764","0.764"
"241","0.7928","0.7928","0.7928"
"243","0.7688","0.7688","0.7688"
"246","0.7848","0.7848","0.7848"
"248","0.7728","0.7728","0.7728"
"251","0.7916","0.7916","0.7916"
"253","0.7808","0.7808","0.7808"
"256","0.7884","0.7884","0.7884"
"258","0.7892","0.7892","0.7892"
"261","0.7972","0.7972","0.7972"
"263","0.782","0.782","0.782"
"266","0.8028","0.8028","0.8028"
"268","0.8028","0.8028","0.8028"
"271","0.8136","0.8136","0.8136"
"273","0.808","0.808","0.808"
"276","0.8128","0.8128","0.8128"
"278","0.8012","0.8012","0.8012"
"281","0.808","0.808","0.808"
"283","0.7952","0.7952","0.7952"
"286","0.8212","0.8212","0.8212"
"288","0.8052","0.8052","0.8052"
"291","0.8224","0.8224","0.8224"
"293","0.8072","0.8072","0.8072"
"296","0.8264","0.8264","0.8264"
"298","0.812","0.812","0.812"
"301","0.8204","0.8204","0.8204"
"303","0.8172","0.8172","0.8172"
"306","0.8276","0.8276","0.8276"
"308","0.8136","0.8136","0.8136"
"311","0.836","0.836","0.836"
"313","0.8268","0.8268","0.8268"
"316","0.8308","0.8308","0.8308"
"318","0.818","0.818","0.818"
"321","0.84","0.84","0.84"
"323","0.8236","0.8236","0.8236"
"326","0.836","0.836","0.836"
"328","0.8288","0.8288","0.8288"
"331","0.8336","0.8336","0.8336"
"333","0.806","0.806","0.806"
"336","0.8356","0.8356","0.8356"
"338","0.8316","0.8316","0.8316"
"341","0.8368","0.8368","0.8368"
"343","0.8184","0.8184","0.8184"
"346","0.838","0.838","0.838"
"348","0.8268","0.8268","0.8268"
"351","0.8388","0.8388","0.8388"
"353","0.8336","0.8336","0.8336"
"356","0.8436","0.8436","0.8436"
"358","0.8388","0.8388","0.8388"
"361","0.8516","0.8516","0.8516"
"363","0.8308","0.8308","0.8308"
"366","0.8576","0.8576","0.8576"
"368","0.8328","0.8328","0.8328"
"371","0.8356","0.8356","0.8356"
"373","0.84","0.84","0.84"
"376","0.8544","0.8544","0.8544"
"378","0.8356","0.8356","0.8356"
"381","0.8524","0.8524","0.8524"
"383","0.8464","0.8464","0.8464"
"386","0.8452","0.8452","0.8452"
"388","0.8308","0.8308","0.8308"
"391","0.8528","0.8528","0.8528"
"393","0.8348","0.8348","0.8348"
"396","0.8488","0.8488","0.8488"
"398","0.8444","0.8444","0.8444"
"401","0.8472","0.8472","0.8472"
"403","0.844","0.844","0.844"
"406","0.8532","0.8532","0.8532"
"408","0.8428","0.8428","0.8428"
"411","0.8412","0.8412","0.8412"
"413","0.85","0.85","0.85"
"416","0.8668","0.8668","0.8668"
"418","0.8388","0.8388","0.8388"
"421","0.8536","0.8536","0.8536"
"423","0.8532","0.8532","0.8532"
"426","0.8544","0.8544","0.8544"
"428","0.8536","0.8536","0.8536"
"431","0.8536","0.8536","0.8536"
"433","0.848","0.848","0.848"
"436","0.858","0.858","0.858"
"438","0.8448","0.8448","0.8448"
"441","0.8532","0.8532","0.8532"
"443","0.8512","0.8512","0.8512"
"446","0.8624","0.8624","0.8624"
"448","0.8524","0.8524","0.8524"
"451","0.8664","0.8664","0.8664"
"453","0.8488","0.8488","0.8488"
"456","0.8608","0.8608","0.8608"
"458","0.8432","0.8432","0.8432"
"461","0.8552","0.8552","0.8552"
"463","0.8512","0.8512","0.8512"
"466","0.8696","0.8696","0.8696"
"468","0.8512","0.8512","0.8512"
"471","0.8652","0.8652","0.8652"
"473","0.848","0.848","0.848"
"476","0.8624","0.8624","0.8624"
"478","0.8596","0.8596","0.8596"
"481","0.8656","0.8656","0.8656"
"483","0.846","0.846","0.846"
"486","0.8592","0.8592","0.8592"
"488","0.8604","0.8604","0.8604"
"491","0.8696","0.8696","0.8696"
"493","0.8568","0.8568","0.8568"
"496","0.862","0.862","0.862"
"498","0.8632","0.8632","0.8632"
"501","0.8704","0.8704","0.8704"
"503","0.8564","0.8564","0.8564"
"506","0.8688","0.8688","0.8688"
"508","0.8632","0.8632","0.8632"
"511","0.8776","0.8776","0.8776"
"513","0.8608","0.8608","0.8608"
"516","0.8796","0.8796","0.8796"
"518","0.8716","0.8716","0.8716"
"521","0.8568","0.8568","0.8568"
"523","0.8536","0.8536","0.8536"
"526","0.8772","0.8772","0.8772"
"528","0.8528","0.8528","0.8528"
"531","0.8748","0.8748","0.8748"
"533","0.8692","0.8692","0.8692"
