"Step","CFR_300r_1e_FAWE - round_accuracy","CFR_300r_1e_FAWE - round_accuracy__MIN","CFR_300r_1e_FAWE - round_accuracy__MAX"
"4","0.22139999999999999","0.22139999999999999","0.22139999999999999"
"9","0.2792","0.2792","0.2792"
"14","0.3268","0.3268","0.3268"
"19","0.3734","0.3734","0.3734"
"24","0.4022","0.4022","0.4022"
"29","0.425","0.425","0.425"
"34","0.4328","0.4328","0.4328"
"39","0.45599999999999996","0.45599999999999996","0.45599999999999996"
"44","0.461","0.461","0.461"
"49","0.4872","0.4872","0.4872"
"54","0.5042","0.5042","0.5042"
"59","0.5118","0.5118","0.5118"
"64","0.5307999999999999","0.5307999999999999","0.5307999999999999"
"69","0.5508","0.5508","0.5508"
"74","0.5549999999999999","0.5549999999999999","0.5549999999999999"
"79","0.5736","0.5736","0.5736"
"84","0.5811999999999999","0.5811999999999999","0.5811999999999999"
"89","0.5814","0.5814","0.5814"
"94","0.6126","0.6126","0.6126"
"99","0.6157999999999999","0.6157999999999999","0.6157999999999999"
"104","0.6337999999999999","0.6337999999999999","0.6337999999999999"
"109","0.6368","0.6368","0.6368"
"114","0.649","0.649","0.649"
"119","0.6597999999999999","0.6597999999999999","0.6597999999999999"
"124","0.6624000000000001","0.6624000000000001","0.6624000000000001"
"129","0.6768000000000001","0.6768000000000001","0.6768000000000001"
"134","0.69","0.69","0.69"
"139","0.6930000000000001","0.6930000000000001","0.6930000000000001"
"144","0.687","0.687","0.687"
"149","0.7068","0.7068","0.7068"
"154","0.7142","0.7142","0.7142"
"159","0.7158","0.7158","0.7158"
"164","0.7150000000000001","0.7150000000000001","0.7150000000000001"
"169","0.7132000000000001","0.7132000000000001","0.7132000000000001"
"174","0.724","0.724","0.724"
"179","0.7262","0.7262","0.7262"
"184","0.7290000000000001","0.7290000000000001","0.7290000000000001"
"189","0.7290000000000001","0.7290000000000001","0.7290000000000001"
"194","0.746","0.746","0.746"
"199","0.7522","0.7522","0.7522"
"204","0.7502","0.7502","0.7502"
"209","0.7444","0.7444","0.7444"
"214","0.754","0.754","0.754"
"219","0.763","0.763","0.763"
"224","0.7686","0.7686","0.7686"
"229","0.7696000000000001","0.7696000000000001","0.7696000000000001"
"234","0.7718","0.7718","0.7718"
"239","0.7736000000000001","0.7736000000000001","0.7736000000000001"
"244","0.7807999999999999","0.7807999999999999","0.7807999999999999"
"249","0.7788","0.7788","0.7788"
"254","0.7862","0.7862","0.7862"
"259","0.7888","0.7888","0.7888"
"264","0.7896000000000001","0.7896000000000001","0.7896000000000001"
"269","0.8028","0.8028","0.8028"
"274","0.8108","0.8108","0.8108"
"279","0.8069999999999999","0.8069999999999999","0.8069999999999999"
"284","0.8016000000000001","0.8016000000000001","0.8016000000000001"
"289","0.8132","0.8132","0.8132"
"294","0.8148","0.8148","0.8148"
"299","0.8192","0.8192","0.8192"
"304","0.8188","0.8188","0.8188"
"309","0.8206","0.8206","0.8206"
"314","0.8313999999999999","0.8313999999999999","0.8313999999999999"
"319","0.8244","0.8244","0.8244"
"324","0.8318","0.8318","0.8318"
"329","0.8324","0.8324","0.8324"
"334","0.8198000000000001","0.8198000000000001","0.8198000000000001"
"339","0.8336","0.8336","0.8336"
"344","0.8276","0.8276","0.8276"
"349","0.8324","0.8324","0.8324"
"354","0.8362","0.8362","0.8362"
"359","0.8412","0.8412","0.8412"
"364","0.8412","0.8412","0.8412"
"369","0.8452","0.8452","0.8452"
"374","0.8378","0.8378","0.8378"
"379","0.845","0.845","0.845"
"384","0.8494","0.8494","0.8494"
"389","0.838","0.838","0.838"
"394","0.8438","0.8438","0.8438"
"399","0.8466","0.8466","0.8466"
"404","0.8455999999999999","0.8455999999999999","0.8455999999999999"
"409","0.848","0.848","0.848"
"414","0.8455999999999999","0.8455999999999999","0.8455999999999999"
"419","0.8528","0.8528","0.8528"
"424","0.8533999999999999","0.8533999999999999","0.8533999999999999"
"429","0.8540000000000001","0.8540000000000001","0.8540000000000001"
"434","0.8508","0.8508","0.8508"
"439","0.8513999999999999","0.8513999999999999","0.8513999999999999"
"444","0.8522","0.8522","0.8522"
"449","0.8574","0.8574","0.8574"
"454","0.8575999999999999","0.8575999999999999","0.8575999999999999"
"459","0.852","0.852","0.852"
"464","0.8532","0.8532","0.8532"
"469","0.8604","0.8604","0.8604"
"474","0.8566","0.8566","0.8566"
"479","0.861","0.861","0.861"
"484","0.8558","0.8558","0.8558"
"489","0.8598","0.8598","0.8598"
"494","0.8632","0.8632","0.8632"
"499","0.8626","0.8626","0.8626"
"504","0.8634","0.8634","0.8634"
"509","0.866","0.866","0.866"
"514","0.8692","0.8692","0.8692"
"519","0.8756","0.8756","0.8756"
"524","0.8552","0.8552","0.8552"
"529","0.865","0.865","0.865"
"534","0.872","0.872","0.872"
"539","0.8712","0.8712","0.8712"
"544","0.8694","0.8694","0.8694"
"549","0.8735999999999999","0.8735999999999999","0.8735999999999999"
"554","0.8626","0.8626","0.8626"
"559","0.8628","0.8628","0.8628"
"564","0.8774","0.8774","0.8774"
"569","0.8666","0.8666","0.8666"
"574","0.8762","0.8762","0.8762"
"579","0.8676","0.8676","0.8676"
"584","0.8706","0.8706","0.8706"
"589","0.8728","0.8728","0.8728"
"594","0.875","0.875","0.875"
"599","0.8748","0.8748","0.8748"
