"Step","CFR_150r_5e_BC_BFV - round_accuracy","CFR_150r_5e_BC_BFV - round_accuracy__MIN","CFR_150r_5e_BC_BFV - round_accuracy__MAX","CFR_150r_5e_BC_BFV - round_loss","CFR_150r_5e_BC_BFV - round_loss__MIN","CFR_150r_5e_BC_BFV - round_loss__MAX","CFR_150r_5e_BC_CKKS - round_accuracy","CFR_150r_5e_BC_CKKS - round_accuracy__MIN","CFR_150r_5e_BC_CKKS - round_accuracy__MAX","CFR_150r_5e_BC_CKKS - round_loss","CFR_150r_5e_BC_CKKS - round_loss__MIN","CFR_150r_5e_BC_CKKS - round_loss__MAX","CFR_150r_5e_FAWE - round_accuracy","CFR_150r_5e_FAWE - round_accuracy__MIN","CFR_150r_5e_FAWE - round_accuracy__MAX","CFR_150r_5e_FAWE - round_loss","CFR_150r_5e_FAWE - round_loss__MIN","CFR_150r_5e_FAWE - round_loss__MAX","CFR_150r_5e_FA_CKKS - round_accuracy","CFR_150r_5e_FA_CKKS - round_accuracy__MIN","CFR_150r_5e_FA_CKKS - round_accuracy__MAX","CFR_150r_5e_FA_CKKS - round_loss","CFR_150r_5e_FA_CKKS - round_loss__MIN","CFR_150r_5e_FA_CKKS - round_loss__MAX","CFR_150r_5e_GBFA_CKKS - round_accuracy","CFR_150r_5e_GBFA_CKKS - round_accuracy__MIN","CFR_150r_5e_GBFA_CKKS - round_accuracy__MAX","CFR_150r_5e_GBFA_CKKS - round_loss","CFR_150r_5e_GBFA_CKKS - round_loss__MIN","CFR_150r_5e_GBFA_CKKS - round_loss__MAX","CFR_40r_5e_BC_CKKS - round_accuracy","CFR_40r_5e_BC_CKKS - round_accuracy__MIN","CFR_40r_5e_BC_CKKS - round_accuracy__MAX","CFR_40r_5e_BC_CKKS - round_loss","CFR_40r_5e_BC_CKKS - round_loss__MIN","CFR_40r_5e_BC_CKKS - round_loss__MAX","CFR_40r_5e_BC_BFV - round_accuracy","CFR_40r_5e_BC_BFV - round_accuracy__MIN","CFR_40r_5e_BC_BFV - round_accuracy__MAX","CFR_40r_5e_BC_BFV - round_loss","CFR_40r_5e_BC_BFV - round_loss__MIN","CFR_40r_5e_BC_BFV - round_loss__MAX","CFR_40r_5e_FAWE - round_accuracy","CFR_40r_5e_FAWE - round_accuracy__MIN","CFR_40r_5e_FAWE - round_accuracy__MAX","CFR_40r_5e_FAWE - round_loss","CFR_40r_5e_FAWE - round_loss__MIN","CFR_40r_5e_FAWE - round_loss__MAX","CFR_40r_5e_FA_CKKS - round_accuracy","CFR_40r_5e_FA_CKKS - round_accuracy__MIN","CFR_40r_5e_FA_CKKS - round_accuracy__MAX","CFR_40r_5e_FA_CKKS - round_loss","CFR_40r_5e_FA_CKKS - round_loss__MIN","CFR_40r_5e_FA_CKKS - round_loss__MAX","CFR_40r_5e_GBFA_CKKS - round_accuracy","CFR_40r_5e_GBFA_CKKS - round_accuracy__MIN","CFR_40r_5e_GBFA_CKKS - round_accuracy__MAX","CFR_40r_5e_GBFA_CKKS - round_loss","CFR_40r_5e_GBFA_CKKS - round_loss__MIN","CFR_40r_5e_GBFA_CKKS - round_loss__MAX","CFR_200r_1e_BC_BFV - round_accuracy","CFR_200r_1e_BC_BFV - round_accuracy__MIN","CFR_200r_1e_BC_BFV - round_accuracy__MAX","CFR_200r_1e_BC_BFV - round_loss","CFR_200r_1e_BC_BFV - round_loss__MIN","CFR_200r_1e_BC_BFV - round_loss__MAX","CFR_200r_1e_BC_CKKS - round_accuracy","CFR_200r_1e_BC_CKKS - round_accuracy__MIN","CFR_200r_1e_BC_CKKS - round_accuracy__MAX","CFR_200r_1e_BC_CKKS - round_loss","CFR_200r_1e_BC_CKKS - round_loss__MIN","CFR_200r_1e_BC_CKKS - round_loss__MAX","CFR_200r_1e_GBFA_CKKS - round_accuracy","CFR_200r_1e_GBFA_CKKS - round_accuracy__MIN","CFR_200r_1e_GBFA_CKKS - round_accuracy__MAX","CFR_200r_1e_GBFA_CKKS - round_loss","CFR_200r_1e_GBFA_CKKS - round_loss__MIN","CFR_200r_1e_GBFA_CKKS - round_loss__MAX","CFR_200r_1e_FA_CKKS - round_accuracy","CFR_200r_1e_FA_CKKS - round_accuracy__MIN","CFR_200r_1e_FA_CKKS - round_accuracy__MAX","CFR_200r_1e_FA_CKKS - round_loss","CFR_200r_1e_FA_CKKS - round_loss__MIN","CFR_200r_1e_FA_CKKS - round_loss__MAX","CFR_200r_1e_FAWE - round_accuracy","CFR_200r_1e_FAWE - round_accuracy__MIN","CFR_200r_1e_FAWE - round_accuracy__MAX","CFR_200r_1e_FAWE - round_loss","CFR_200r_1e_FAWE - round_loss__MIN","CFR_200r_1e_FAWE - round_loss__MAX"
"4","0.1956","0.1956","0.1956","2.222062962569974","2.222062962569974","2.222062962569974","0.184","0.184","0.184","2.2417058442803945","2.2417058442803945","2.2417058442803945","0.20640000000000003","0.20640000000000003","0.20640000000000003","2.2134434895081956","2.2134434895081956","2.2134434895081956","0.209","0.209","0.209","2.1722577076743947","2.1722577076743947","2.1722577076743947","0.2026","0.2026","0.2026","2.26147747784853","2.26147747784853","2.26147747784853","0.2128","0.2128","0.2128","2.1830285247753967","2.1830285247753967","2.1830285247753967","0.2098","0.2098","0.2098","2.187448696588928","2.187448696588928","2.187448696588928","0.18919999999999998","0.18919999999999998","0.18919999999999998","2.2250232729044828","2.2250232729044828","2.2250232729044828","0.1954","0.1954","0.1954","2.2041990580206567","2.2041990580206567","2.2041990580206567","0.2096","0.2096","0.2096","2.203603857078335","2.203603857078335","2.203603857078335","0.24120000000000003","0.24120000000000003","0.24120000000000003","2.2701586864211345","2.2701586864211345","2.2701586864211345","0.2248","0.2248","0.2248","2.335373165255243","2.335373165255243","2.335373165255243","0.23299999999999998","0.23299999999999998","0.23299999999999998","2.2941404547203668","2.2941404547203668","2.2941404547203668","0.2208","0.2208","0.2208","2.3156793984499844","2.3156793984499844","2.3156793984499844","0.2246","0.2246","0.2246","2.330078636380759","2.330078636380759","2.330078636380759"
"9","0.1948","0.1948","0.1948","2.143125825443051","2.143125825443051","2.143125825443051","0.1724","0.1724","0.1724","2.1863265334205195","2.1863265334205195","2.1863265334205195","0.27280000000000004","0.27280000000000004","0.27280000000000004","1.9679148882627486","1.9679148882627486","1.9679148882627486","0.2822","0.2822","0.2822","1.9308413995260543","1.9308413995260543","1.9308413995260543","0.26339999999999997","0.26339999999999997","0.26339999999999997","1.96441786180843","1.96441786180843","1.96441786180843","0.1944","0.1944","0.1944","2.1337600504810164","2.1337600504810164","2.1337600504810164","0.1972","0.1972","0.1972","2.143334131484682","2.143334131484682","2.143334131484682","0.26439999999999997","0.26439999999999997","0.26439999999999997","1.9598731063983656","1.9598731063983656","1.9598731063983656","0.251","0.251","0.251","1.975494732098146","1.975494732098146","1.975494732098146","0.26039999999999996","0.26039999999999996","0.26039999999999996","1.9760244106027214","1.9760244106027214","1.9760244106027214","0.251","0.251","0.251","2.0146919414401054","2.0146919414401054","2.0146919414401054","0.2174","0.2174","0.2174","2.0966619927097447","2.0966619927097447","2.0966619927097447","0.29100000000000004","0.29100000000000004","0.29100000000000004","1.9847089319743894","1.9847089319743894","1.9847089319743894","0.2852","0.2852","0.2852","1.9845452420413494","1.9845452420413494","1.9845452420413494","0.2828","0.2828","0.2828","2.010975816710429","2.010975816710429","2.010975816710429"
"14","0.2662","0.2662","0.2662","1.8906554998321967","1.8906554998321967","1.8906554998321967","0.228","0.228","0.228","2.0932751707055353","2.0932751707055353","2.0932751707055353","0.3226","0.3226","0.3226","1.8119631832973524","1.8119631832973524","1.8119631832973524","0.34419999999999995","0.34419999999999995","0.34419999999999995","1.7617224540900103","1.7617224540900103","1.7617224540900103","0.3408","0.3408","0.3408","1.8037330198017034","1.8037330198017034","1.8037330198017034","0.2692","0.2692","0.2692","1.9271441712975503","1.9271441712975503","1.9271441712975503","0.2608","0.2608","0.2608","1.9284799613058565","1.9284799613058565","1.9284799613058565","0.3366","0.3366","0.3366","1.8033169028433886","1.8033169028433886","1.8033169028433886","0.32999999999999996","0.32999999999999996","0.32999999999999996","1.8016755506396294","1.8016755506396294","1.8016755506396294","0.3238","0.3238","0.3238","1.824789422276345","1.824789422276345","1.824789422276345","0.3238","0.3238","0.3238","1.8426531631160867","1.8426531631160867","1.8426531631160867","0.266","0.266","0.266","1.9670146561481736","1.9670146561481736","1.9670146561481736","0.32699999999999996","0.32699999999999996","0.32699999999999996","1.852070174772631","1.852070174772631","1.852070174772631","0.3468","0.3468","0.3468","1.811556747352535","1.811556747352535","1.811556747352535","0.329","0.329","0.329","1.8637829903851855","1.8637829903851855","1.8637829903851855"
"19","0.3144","0.3144","0.3144","1.8054303185506302","1.8054303185506302","1.8054303185506302","0.26039999999999996","0.26039999999999996","0.26039999999999996","1.9194500728764319","1.9194500728764319","1.9194500728764319","0.3528","0.3528","0.3528","1.749876311624592","1.749876311624592","1.749876311624592","0.3618","0.3618","0.3618","1.7131255016408184","1.7131255016408184","1.7131255016408184","0.3648","0.3648","0.3648","1.7365604664791714","1.7365604664791714","1.7365604664791714","0.3146","0.3146","0.3146","1.8253343195400458","1.8253343195400458","1.8253343195400458","0.2954","0.2954","0.2954","1.8509673086079685","1.8509673086079685","1.8509673086079685","0.36260000000000003","0.36260000000000003","0.36260000000000003","1.721956246075305","1.721956246075305","1.721956246075305","0.356","0.356","0.356","1.7433714801614937","1.7433714801614937","1.7433714801614937","0.3614","0.3614","0.3614","1.7350935990837486","1.7350935990837486","1.7350935990837486","0.3822","0.3822","0.3822","1.706412537870082","1.706412537870082","1.706412537870082","0.3346","0.3346","0.3346","1.8256929049437696","1.8256929049437696","1.8256929049437696","0.371","0.371","0.371","1.7455870580266821","1.7455870580266821","1.7455870580266821","0.39039999999999997","0.39039999999999997","0.39039999999999997","1.7084020775827495","1.7084020775827495","1.7084020775827495","0.36119999999999997","0.36119999999999997","0.36119999999999997","1.7511114948852495","1.7511114948852495","1.7511114948852495"
"24","0.3674","0.3674","0.3674","1.6907325728373095","1.6907325728373095","1.6907325728373095","0.29379999999999995","0.29379999999999995","0.29379999999999995","1.8201375646347349","1.8201375646347349","1.8201375646347349","0.4182","0.4182","0.4182","1.6181664090264927","1.6181664090264927","1.6181664090264927","0.40700000000000003","0.40700000000000003","0.40700000000000003","1.6250471453775057","1.6250471453775057","1.6250471453775057","0.4044","0.4044","0.4044","1.624927091530778","1.624927091530778","1.624927091530778","0.3708","0.3708","0.3708","1.7073754812506112","1.7073754812506112","1.7073754812506112","0.3578","0.3578","0.3578","1.719645180688663","1.719645180688663","1.719645180688663","0.3984","0.3984","0.3984","1.6206343537027184","1.6206343537027184","1.6206343537027184","0.4128","0.4128","0.4128","1.620154567807913","1.620154567807913","1.620154567807913","0.3968","0.3968","0.3968","1.658784971453927","1.658784971453927","1.658784971453927","0.3994","0.3994","0.3994","1.6563792350617321","1.6563792350617321","1.6563792350617321","0.3654","0.3654","0.3654","1.7226976190101015","1.7226976190101015","1.7226976190101015","0.4048","0.4048","0.4048","1.6689302880655634","1.6689302880655634","1.6689302880655634","0.4054","0.4054","0.4054","1.6502834931015968","1.6502834931015968","1.6502834931015968","0.3892","0.3892","0.3892","1.6918716041201893","1.6918716041201893","1.6918716041201893"
"29","0.3988","0.3988","0.3988","1.6412087845531378","1.6412087845531378","1.6412087845531378","0.338","0.338","0.338","1.7699206732890822","1.7699206732890822","1.7699206732890822","0.4218","0.4218","0.4218","1.5847144233232195","1.5847144233232195","1.5847144233232195","0.42","0.42","0.42","1.584909807958386","1.584909807958386","1.584909807958386","0.4182","0.4182","0.4182","1.5918673757802355","1.5918673757802355","1.5918673757802355","0.39139999999999997","0.39139999999999997","0.39139999999999997","1.6662184612994844","1.6662184612994844","1.6662184612994844","0.3878","0.3878","0.3878","1.6729820516299116","1.6729820516299116","1.6729820516299116","0.4232","0.4232","0.4232","1.5854915499009872","1.5854915499009872","1.5854915499009872","0.4266","0.4266","0.4266","1.5784776024520397","1.5784776024520397","1.5784776024520397","0.4278","0.4278","0.4278","1.601887633177367","1.601887633177367","1.601887633177367","0.4226","0.4226","0.4226","1.5875110541555015","1.5875110541555015","1.5875110541555015","0.3972","0.3972","0.3972","1.662662462754683","1.662662462754683","1.662662462754683","0.42879999999999996","0.42879999999999996","0.42879999999999996","1.613869139755314","1.613869139755314","1.613869139755314","0.43520000000000003","0.43520000000000003","0.43520000000000003","1.5946464237164366","1.5946464237164366","1.5946464237164366","0.4122","0.4122","0.4122","1.622049094939774","1.622049094939774","1.622049094939774"
"34","0.4258","0.4258","0.4258","1.5671209489757363","1.5671209489757363","1.5671209489757363","0.37460000000000004","0.37460000000000004","0.37460000000000004","1.677086196162484","1.677086196162484","1.677086196162484","0.4288","0.4288","0.4288","1.5428997188806535","1.5428997188806535","1.5428997188806535","0.421","0.421","0.421","1.5543674672191794","1.5543674672191794","1.5543674672191794","0.43920000000000003","0.43920000000000003","0.43920000000000003","1.5432455170560966","1.5432455170560966","1.5432455170560966","0.40859999999999996","0.40859999999999996","0.40859999999999996","1.5855503333563155","1.5855503333563155","1.5855503333563155","0.3992","0.3992","0.3992","1.6115926250815393","1.6115926250815393","1.6115926250815393","0.43579999999999997","0.43579999999999997","0.43579999999999997","1.534690029851415","1.534690029851415","1.534690029851415","0.442","0.442","0.442","1.5248895314606754","1.5248895314606754","1.5248895314606754","0.435","0.435","0.435","1.5617859612134368","1.5617859612134368","1.5617859612134368","0.4506","0.4506","0.4506","1.527118088508194","1.527118088508194","1.527118088508194","0.4218","0.4218","0.4218","1.608616815033284","1.608616815033284","1.608616815033284","0.4436","0.4436","0.4436","1.5660479007796808","1.5660479007796808","1.5660479007796808","0.44820000000000004","0.44820000000000004","0.44820000000000004","1.5555176216770301","1.5555176216770301","1.5555176216770301","0.4316","0.4316","0.4316","1.574922921305353","1.574922921305353","1.574922921305353"
"39","0.4448","0.4448","0.4448","1.5184275763278658","1.5184275763278658","1.5184275763278658","0.39159999999999995","0.39159999999999995","0.39159999999999995","1.646673060073094","1.646673060073094","1.646673060073094","0.4504","0.4504","0.4504","1.4977413480254738","1.4977413480254738","1.4977413480254738","0.4532","0.4532","0.4532","1.5042813708159057","1.5042813708159057","1.5042813708159057","0.4544","0.4544","0.4544","1.5039626764302905","1.5039626764302905","1.5039626764302905","0.4498","0.4498","0.4498","1.5319145976142448","1.5319145976142448","1.5319145976142448","0.43220000000000003","0.43220000000000003","0.43220000000000003","1.557823502204635","1.557823502204635","1.557823502204635","0.4536","0.4536","0.4536","1.5012149543924762","1.5012149543924762","1.5012149543924762","0.46140000000000003","0.46140000000000003","0.46140000000000003","1.485254426232793","1.485254426232793","1.485254426232793","0.451","0.451","0.451","1.5234436547214334","1.5234436547214334","1.5234436547214334","0.485","0.485","0.485","1.458310271867297","1.458310271867297","1.458310271867297","0.4492","0.4492","0.4492","1.5526251518590883","1.5526251518590883","1.5526251518590883","0.45120000000000005","0.45120000000000005","0.45120000000000005","1.5218727324496615","1.5218727324496615","1.5218727324496615","0.4638","0.4638","0.4638","1.500115029513836","1.500115029513836","1.500115029513836","0.4452","0.4452","0.4452","1.528427668254484","1.528427668254484","1.528427668254484"
"44","0.47440000000000004","0.47440000000000004","0.47440000000000004","1.4610947590659964","1.4610947590659964","1.4610947590659964","0.4082","0.4082","0.4082","1.5786321632564069","1.5786321632564069","1.5786321632564069","0.4748","0.4748","0.4748","1.444884400137446","1.444884400137446","1.444884400137446","0.46140000000000003","0.46140000000000003","0.46140000000000003","1.4672118667174467","1.4672118667174467","1.4672118667174467","0.46740000000000004","0.46740000000000004","0.46740000000000004","1.46740571226586","1.46740571226586","1.46740571226586","0.4606","0.4606","0.4606","1.4767495001581583","1.4767495001581583","1.4767495001581583","0.4492","0.4492","0.4492","1.5149841796268115","1.5149841796268115","1.5149841796268115","0.4786","0.4786","0.4786","1.4529307269237257","1.4529307269237257","1.4529307269237257","0.4788","0.4788","0.4788","1.4515227969397198","1.4515227969397198","1.4515227969397198","0.4748","0.4748","0.4748","1.47220539545471","1.47220539545471","1.47220539545471","0.49439999999999995","0.49439999999999995","0.49439999999999995","1.4361335564066062","1.4361335564066062","1.4361335564066062","0.46499999999999997","0.46499999999999997","0.46499999999999997","1.5083728967742487","1.5083728967742487","1.5083728967742487","0.4712","0.4712","0.4712","1.5084737454625694","1.5084737454625694","1.5084737454625694","0.473","0.473","0.473","1.4808461720293218","1.4808461720293218","1.4808461720293218","0.4784","0.4784","0.4784","1.4923300722783264","1.4923300722783264","1.4923300722783264"
"49","0.494","0.494","0.494","1.3976141147315502","1.3976141147315502","1.3976141147315502","0.43720000000000003","0.43720000000000003","0.43720000000000003","1.5433793667365205","1.5433793667365205","1.5433793667365205","0.4908","0.4908","0.4908","1.417753044515848","1.417753044515848","1.417753044515848","0.4808","0.4808","0.4808","1.4282042315060441","1.4282042315060441","1.4282042315060441","0.48","0.48","0.48","1.4235930986702443","1.4235930986702443","1.4235930986702443","0.4942","0.4942","0.4942","1.4224811542440543","1.4224811542440543","1.4224811542440543","0.4764","0.4764","0.4764","1.4501285953277891","1.4501285953277891","1.4501285953277891","0.4868","0.4868","0.4868","1.4269888337362895","1.4269888337362895","1.4269888337362895","0.49219999999999997","0.49219999999999997","0.49219999999999997","1.4161179866980422","1.4161179866980422","1.4161179866980422","0.488","0.488","0.488","1.437986271963878","1.437986271963878","1.437986271963878","0.536","0.536","0.536","1.359012611549009","1.359012611549009","1.359012611549009","0.49260000000000004","0.49260000000000004","0.49260000000000004","1.4655744264071637","1.4655744264071637","1.4655744264071637","0.49260000000000004","0.49260000000000004","0.49260000000000004","1.445286739956249","1.445286739956249","1.445286739956249","0.5005999999999999","0.5005999999999999","0.5005999999999999","1.432644711299376","1.432644711299376","1.432644711299376","0.49","0.49","0.49","1.44962667402896","1.44962667402896","1.44962667402896"
